 time            v(in)           v(out)         
 9.30500000e-09  9.00000000e-01  9.73878886e-01 
 9.31500000e-09  9.00000000e-01  9.73879045e-01 
 9.32500000e-09  9.00000000e-01  9.73878982e-01 
 9.33500000e-09  9.00000000e-01  9.73879128e-01 
 9.34500000e-09  9.00000000e-01  9.73879059e-01 
 9.35500000e-09  9.00000000e-01  9.73879195e-01 
 9.36500000e-09  9.00000000e-01  9.73879122e-01 
 9.37500000e-09  9.00000000e-01  9.73879249e-01 
 9.38500000e-09  9.00000000e-01  9.73879173e-01 
 9.39500000e-09  9.00000000e-01  9.73879292e-01 
 9.40500000e-09  9.00000000e-01  9.73879214e-01 
 9.41500000e-09  9.00000000e-01  9.73879326e-01 
 9.42500000e-09  9.00000000e-01  9.73879248e-01 
 9.43500000e-09  9.00000000e-01  9.73879354e-01 
 9.44500000e-09  9.00000000e-01  9.73879275e-01 
 9.45500000e-09  9.00000000e-01  9.73879376e-01 
 9.46500000e-09  9.00000000e-01  9.73879297e-01 
 9.47500000e-09  9.00000000e-01  9.73879394e-01 
 9.48500000e-09  9.00000000e-01  9.73879315e-01 
 9.49500000e-09  9.00000000e-01  9.73879408e-01 
 9.50500000e-09  9.00000000e-01  9.73879330e-01 
 9.51500000e-09  9.00000000e-01  9.73879419e-01 
 9.52500000e-09  9.00000000e-01  9.73879343e-01 
 9.53500000e-09  9.00000000e-01  9.73879428e-01 
 9.54500000e-09  9.00000000e-01  9.73879353e-01 
 9.55500000e-09  9.00000000e-01  9.73879435e-01 
 9.56500000e-09  9.00000000e-01  9.73879361e-01 
 9.57500000e-09  9.00000000e-01  9.73879440e-01 
 9.58500000e-09  9.00000000e-01  9.73879368e-01 
 9.59500000e-09  9.00000000e-01  9.73879445e-01 
 9.60500000e-09  9.00000000e-01  9.73879373e-01 
 9.61500000e-09  9.00000000e-01  9.73879448e-01 
 9.62500000e-09  9.00000000e-01  9.73879378e-01 
 9.63500000e-09  9.00000000e-01  9.73879450e-01 
 9.64500000e-09  9.00000000e-01  9.73879382e-01 
 9.65500000e-09  9.00000000e-01  9.73879452e-01 
 9.66500000e-09  9.00000000e-01  9.73879385e-01 
 9.67500000e-09  9.00000000e-01  9.73879454e-01 
 9.68500000e-09  9.00000000e-01  9.73879388e-01 
 9.69500000e-09  9.00000000e-01  9.73879455e-01 
 9.70500000e-09  9.00000000e-01  9.73879390e-01 
 9.71500000e-09  9.00000000e-01  9.73879455e-01 
 9.72500000e-09  9.00000000e-01  9.73879392e-01 
 9.73500000e-09  9.00000000e-01  9.73879456e-01 
 9.74500000e-09  9.00000000e-01  9.73879394e-01 
 9.75500000e-09  9.00000000e-01  9.73879456e-01 
 9.76500000e-09  9.00000000e-01  9.73879396e-01 
 9.77500000e-09  9.00000000e-01  9.73879456e-01 
 9.78500000e-09  9.00000000e-01  9.73879397e-01 
 9.79500000e-09  9.00000000e-01  9.73879456e-01 
 9.80500000e-09  9.00000000e-01  9.73879398e-01 
 9.81500000e-09  9.00000000e-01  9.73879456e-01 
 9.82500000e-09  9.00000000e-01  9.73879399e-01 
 9.83500000e-09  9.00000000e-01  9.73879456e-01 
 9.84500000e-09  9.00000000e-01  9.73879400e-01 
 9.85500000e-09  9.00000000e-01  9.73879456e-01 
 9.86500000e-09  9.00000000e-01  9.73879401e-01 
 9.87500000e-09  9.00000000e-01  9.73879455e-01 
 9.88500000e-09  9.00000000e-01  9.73879402e-01 
 9.89500000e-09  9.00000000e-01  9.73879455e-01 
 9.90500000e-09  9.00000000e-01  9.73879403e-01 
 9.91500000e-09  9.00000000e-01  9.73879454e-01 
 9.92500000e-09  9.00000000e-01  9.73879404e-01 
 9.93500000e-09  9.00000000e-01  9.73879454e-01 
 9.94500000e-09  9.00000000e-01  9.73879404e-01 
 9.95500000e-09  9.00000000e-01  9.73879454e-01 
 9.96500000e-09  9.00000000e-01  9.73879405e-01 
 9.97500000e-09  9.00000000e-01  9.73879453e-01 
 9.98500000e-09  9.00000000e-01  9.73879405e-01 
 9.99500000e-09  9.00000000e-01  9.73879453e-01 
 1.00000000e-08  9.00000000e-01  9.73879406e-01 
 1.00010000e-08  8.99100000e-01  9.72722915e-01 
 1.00030000e-08  8.97300000e-01  9.70893943e-01 
 1.00070000e-08  8.93700000e-01  9.69504825e-01 
 1.00150000e-08  8.86500000e-01  9.75005565e-01 
 1.00250000e-08  8.77500000e-01  9.96370225e-01 
 1.00350000e-08  8.68500000e-01  1.03216199e+00 
 1.00450000e-08  8.59500000e-01  1.08062340e+00 
 1.00550000e-08  8.50500000e-01  1.13982613e+00 
 1.00650000e-08  8.41500000e-01  1.20758835e+00 
 1.00750000e-08  8.32500000e-01  1.28093236e+00 
 1.00850000e-08  8.23500000e-01  1.35562347e+00 
